,Date,Open,High,Low,Close,Volume,Average of Compound
0,2017-10-10,2549.98999,2555.22998,2544.860107,2550.639893,2960500000,0.018745455
1,2017-10-11,2550.6201170000004,2555.23999,2547.949951,2555.23999,2976090000,0.11566666699999999
2,2017-10-12,2552.8798829999996,2555.330078,2548.310059,2550.929932,3151510000,0.177133333
3,2017-10-13,2555.659912,2557.649902,2552.090088,2553.169922,3149440000,0.017684615
4,2017-10-16,2555.570068,2559.469971,2552.639893,2557.639893,2916020000,0.284188889
5,2017-10-17,2557.169922,2559.709961,2554.689941,2559.360107,2889390000,0.269477778
6,2017-10-18,2562.8701170000004,2564.110107,2559.669922,2561.26001,2998090000,0.297658824
7,2017-10-19,2553.389893,2562.360107,2547.919922,2562.100098,2990710000,-0.09991428599999999
8,2017-10-20,2567.560059,2575.439941,2567.560059,2575.209961,3384650000,0.423409091
9,2017-10-23,2578.080078,2578.290039,2564.330078,2564.97998,3211710000,-0.0396
10,2017-10-24,2568.659912,2572.179932,2565.580078,2569.1298829999996,3427330000,0.166625
11,2017-10-25,2566.52002,2567.399902,2544.0,2557.149902,3874510000,0.435592308
12,2017-10-26,2560.080078,2567.070068,2559.800049,2560.399902,3869050000,0.204036364
13,2017-10-27,2570.26001,2582.97998,2565.939941,2581.070068,3887110000,0.40018666700000005
14,2017-10-30,2577.75,2580.030029,2568.25,2572.830078,3658870000,-0.037175
15,2017-10-31,2575.98999,2578.290039,2572.149902,2575.26001,3827230000,-0.1313
16,2017-11-10,2580.179932,2583.810059,2575.570068,2582.300049,3486910000,0.728944444
17,2017-11-13,2576.530029,2587.659912,2574.47998,2584.840088,3402930000,0.38505
18,2017-11-14,2577.75,2579.659912,2566.560059,2578.8701170000004,3641760000,0.594525
19,2017-11-15,2569.449951,2572.840088,2557.449951,2564.6201170000004,3558890000,0.285113333
20,2017-11-16,2572.949951,2590.090088,2572.949951,2585.639893,3312710000,0.216771429
21,2017-11-17,2582.939941,2583.959961,2577.6201170000004,2578.850098,3300160000,0.0292
22,2017-11-20,2579.48999,2584.639893,2578.23999,2582.139893,3003540000,-0.20199999999999999
23,2017-11-21,2589.169922,2601.189941,2589.169922,2599.030029,3332720000,0.6122
24,2017-11-22,2600.310059,2600.939941,2595.22998,2597.080078,2762950000,-0.002745455
25,2017-11-24,2600.419922,2604.209961,2600.419922,2602.419922,1349780000,0.030860000000000002
26,2017-11-27,2602.659912,2606.409912,2598.8701170000004,2601.419922,3006860000,0.371425
27,2017-11-28,2605.939941,2627.689941,2605.439941,2627.040039,3488420000,0.36276666700000004
28,2017-11-29,2627.820068,2634.889893,2620.320068,2626.070068,4078280000,0.057765
29,2017-11-30,2633.929932,2657.73999,2633.929932,2647.580078,4938490000,0.031166667000000002
30,2017-12-11,2652.189941,2660.330078,2651.469971,2659.98999,3091950000,-0.9272
31,2017-12-12,2661.72998,2669.719971,2659.780029,2664.110107,3555680000,-0.14428
32,2017-12-13,2667.590088,2671.8798829999996,2662.850098,2662.850098,3542370000,0.52608
33,2017-12-14,2665.8701170000004,2668.090088,2652.01001,2652.01001,3430030000,0.367571429
34,2017-12-15,2660.6298829999996,2679.6298829999996,2659.139893,2675.810059,5723920000,0.84115
35,2017-12-18,2685.919922,2694.969971,2685.919922,2690.159912,3724660000,0.429369231
36,2017-12-19,2692.709961,2694.439941,2680.73999,2681.469971,3368590000,0.81706
37,2017-12-20,2688.179932,2691.01001,2676.110107,2679.25,3241030000,0.541483333
38,2017-12-21,2683.02002,2692.639893,2682.399902,2684.570068,3273390000,0.39442
39,2017-12-22,2684.219971,2685.350098,2678.1298829999996,2683.340088,2399830000,0.369181818
40,2017-12-26,2679.090088,2682.73999,2677.959961,2680.5,1968780000,0.48343333299999997
41,2017-12-27,2682.100098,2685.639893,2678.909912,2682.6201170000004,2202080000,0.3875
42,2017-12-28,2686.100098,2687.659912,2682.689941,2687.540039,2153330000,0.12628181800000002
43,2017-12-29,2689.149902,2692.1201170000004,2673.610107,2673.610107,2443490000,0.299425
