Start Date,End Date,Average of adjusted_approve,Average of adjusted_disapprove
1/20/2017,1/22/2017,45.90613,43.14093
1/23/2017,1/25/2017,43.71903,40.23624
1/26/2017,1/28/2017,42.90613,49.14093
1/29/2017,1/31/2017,43.90613,50.14093
2/1/2017,2/3/2017,44.90613,48.14093
2/4/2017,2/6/2017,42.90613,52.14093
2/7/2017,2/9/2017,42.90613,50.14093
2/10/2017,2/12/2017,40.90613,52.14093
2/13/2017,2/15/2017,40.90613,52.14093
2/16/2017,2/18/2017,41.90613,53.14093
2/19/2017,2/21/2017,42.90613,50.14093
2/22/2017,2/24/2017,41.90613,51.14093
2/25/2017,2/27/2017,42.90613,52.14093
2/28/2017,3/2/2017,43.90613,49.14093
3/3/2017,3/5/2017,44.90613,48.14093
3/6/2017,3/8/2017,41.90613,51.14093
3/9/2017,3/11/2017,45.90613,47.14093
3/12/2017,3/14/2017,41.4270625,51.97496
3/15/2017,3/17/2017,40.90613,53.14093
3/18/2017,3/20/2017,39.90613,54.14093
3/21/2017,3/23/2017,41.90613,52.14093
3/24/2017,3/26/2017,36.90613,55.14093
3/27/2017,3/29/2017,38.90613,55.14093
3/30/2017,4/1/2017,38.90613,55.14093
4/2/2017,4/4/2017,41.71903,50.43624
4/5/2017,4/7/2017,40.90613,52.14093
4/8/2017,4/10/2017,40.90613,52.14093
4/11/2017,4/13/2017,40.90613,53.14093
4/17/2017,4/19/2017,43.90613,48.14093
4/20/2017,4/22/2017,40.90613,52.14093
4/23/2017,4/25/2017,42.35587714,51.25702571
4/26/2017,4/28/2017,43.90613,49.14093
4/29/2017,5/1/2017,42.90613,52.14093
5/5/2017,5/7/2017,42.90613,51.14093
5/8/2017,5/10/2017,38.90613,53.14093
5/11/2017,5/13/2017,39.114145,54.395265
5/14/2017,5/16/2017,38.90613,55.14093
5/17/2017,5/19/2017,37.90613,54.14093
5/20/2017,5/22/2017,38.90613,54.14093
5/23/2017,5/25/2017,41.90613,52.14093
5/26/2017,5/28/2017,42.90613,51.14093
5/29/2017,5/31/2017,40.90613,52.14093
6/1/2017,6/3/2017,36.90613,56.14093
6/4/2017,6/6/2017,38.71903,56.03624
6/7/2017,6/9/2017,39.90613,54.14093
6/10/2017,6/12/2017,36.90613,58.14093
6/13/2017,6/15/2017,38.90613,55.14093
6/16/2017,6/18/2017,38.90613,54.14093
6/19/2017,6/21/2017,39.90613,54.14093
6/22/2017,6/24/2017,38.90613,55.14093
6/25/2017,6/27/2017,40.78444857,52.97131143
6/28/2017,6/30/2017,38.90613,55.14093
7/1/2017,7/3/2017,37.90613,55.14093
7/7/2017,7/9/2017,39.90613,54.14093
7/13/2017,7/15/2017,38.90613,54.14093
7/16/2017,7/18/2017,38.9270625,54.47496
7/19/2017,7/21/2017,38.90613,55.14093
7/22/2017,7/24/2017,36.90613,57.14093
7/25/2017,7/27/2017,39.90613,52.14093
7/28/2017,7/30/2017,37.90613,57.14093
7/31/2017,8/2/2017,36.90613,56.14093
8/3/2017,8/5/2017,38.90613,54.14093
8/6/2017,8/8/2017,37.51903,55.63624
8/9/2017,8/11/2017,37.90613,55.14093
8/12/2017,8/14/2017,36.90613,57.14093
8/15/2017,8/17/2017,38.90613,55.14093
8/18/2017,8/20/2017,35.90613,57.14093
8/21/2017,8/23/2017,34.90613,58.14093
8/24/2017,8/26/2017,35.90613,58.14093
8/27/2017,8/29/2017,38.21302,56.11416857
8/30/2017,9/1/2017,34.90613,59.14093
9/2/2017,9/4/2017,37.90613,54.14093
9/5/2017,9/7/2017,36.90613,55.14093
9/8/2017,9/10/2017,38.90613,55.14093
9/11/2017,9/13/2017,39.350092,52.296924
9/14/2017,9/16/2017,38.90613,55.14093
9/17/2017,9/19/2017,40.11903,52.23624
9/20/2017,9/22/2017,37.90613,54.14093
9/23/2017,9/25/2017,39.90613,54.14093
9/26/2017,9/28/2017,37.90613,57.14093
9/29/2017,10/1/2017,37.90613,55.14093
10/2/2017,10/4/2017,39.90613,54.14093
10/5/2017,10/7/2017,38.90613,55.14093
10/8/2017,10/10/2017,37.90613,54.14093
10/11/2017,10/13/2017,38.90613,54.14093
10/14/2017,10/16/2017,37.90613,56.14093
10/17/2017,10/19/2017,35.90613,58.14093
10/20/2017,10/22/2017,36.90613,55.14093
10/23/2017,10/25/2017,37.90613,56.14093
10/26/2017,10/28/2017,35.90613,58.14093
10/29/2017,10/31/2017,38.91903,56.03624
11/1/2017,11/3/2017,39.90613,54.14093
11/4/2017,11/6/2017,37.90613,55.14093
11/7/2017,11/9/2017,37.90613,56.14093
11/10/2017,11/12/2017,38.90613,54.14093
11/13/2017,11/15/2017,39.550092,55.496924
11/16/2017,11/18/2017,38.90613,55.14093
11/19/2017,11/21/2017,38.31903,55.03624
11/25/2017,11/27/2017,37.90613,54.14093
11/28/2017,11/30/2017,34.90613,58.14093
12/1/2017,12/3/2017,35.90613,58.14093
12/4/2017,12/6/2017,37.90613,57.14093
12/7/2017,12/9/2017,36.90613,57.14093
12/10/2017,12/12/2017,35.9985425,56.450395
12/13/2017,12/15/2017,37.614145,57.895265
12/16/2017,12/18/2017,36.90613,57.14093
12/19/2017,12/21/2017,36.90613,56.14093
12/28/2017,12/30/2017,40.90613,53.14093
12/31/2017,1/2/2018,39.59429667,54.63311333
1/21/2018,1/23/2018,41.735776,54.303464
2/5/2018,2/7/2018,38.9794,55.73425333
2/11/2018,2/13/2018,42.26096333,52.63311333
3/4/2018,3/6/2018,40.26096333,53.29978
3/19/2018,3/21/2018,41.31273333,52.06758667
